word/expression,Korean,Vietnamese,example,meanimg-VI,meanimg-KR,Type
Sign out,로그아웃하다,Đăng xuất,"If it doesn't work, sign out and delete the cookies.","Nếu nó không hoạt động, hãy đăng xuất và xóa cookie.","작동하지 않으면, 로그아웃하고 쿠키를 제거하세요.",Verb
Key in,입력하다,nhập vào,The password is too complicated to key in.,Mật khẩu quá phức tạp để khóa.,그 암호는 입력하기에 너무 복잡합니다.,Verb
Opt in/ out,"(메시지나 광고를 수신하도록) 선택하다/ 배제하다
 (정보 제공을) 동의하다/ 철회하다",tham gia/không tham gia vào,Please opt in to get exclusive offers by email.,Vui lòng chọn tham gia để nhận được ưu đãi độc quyền qua email.,특별 프로모션 수신을 원하면 동의해 주세요.,Verb
Go online/ offline,온라인/ 오프라인 상태가 되다,trực tuyến/ngoại tuyến,Let me get back to you as soon as I go online.,Hãy để tôi liên hệ lại với bạn ngay khi tôi lên mạng.,온라인 상태가 되면 다시 연락 줄게.,Verb
Filter out,걸러내다,Lọc ra,This firewall filters out malicious access.,Tường lửa này lọc ra truy cập độc hại.,이 방화벽은 악의적인 접근을 걸러냅니다.,Verb
Signed,"서명된, 부호가 있는",có dấu,"We recommend using signed commit messages for 
 security reasons","Chúng tôi khuyên bạn nên sử dụng các tin nhắn cam kết đã ký cho
 lý do an ninh","보안 상의 이유로 서명된 커밋 메시지를 사용하는 것을 
 권장합니다.",Verb
Escape,"(소프트웨어에서) 특수 문자나 텍스트로 특정 행동을 하다, (문자의 원래 기능을) 무시하다",Thoát,"Escaping is a method that allows us to tell a 
 computer to do something special with the text we 
 supply or to ignore the special function of a character.","Thoát ra là một phương pháp cho phép chúng ta nói một
 máy tính để làm điều gì đó đặc biệt với văn bản chúng tôi
 cung cấp hoặc để bỏ qua chức năng đặc biệt của một nhân vật.","이스케이핑은 컴퓨터가 주어진 텍스트로 특정한 행동을 
 하도록 하거나, 문자의 특별한 기능을 무시하도록 하는 것입니다.",Verb
,,,,,,
Place / Time,,,,,,
On the SSD/HDD,(저장장치),Trên ổ SSD/HDD,The data will be stored on the new SSD from now on.,Dữ liệu sẽ được lưu trữ trên SSD mới kể từ bây giờ.,지금부터 데이터는 새 SSD에 저장될 것입니다.,Place / Time
On Facebook,(SNS),Trên Facebook,Find us on Twitter to learn more!,Tìm chúng tôi trên Twitter để tìm hiểu thêm!,더 알아보려면 트위터에서 저희를 찾아주세요!,Place / Time
On the website,웹사이트),Trên trang web,Please check the opening hours on the website.,Vui lòng kiểm tra giờ mở cửa trên trang web.,웹사이트에서 엽업시간을 확인해주세요.,Place / Time
On the computer,(컴퓨터),trên máy tính,"This is the easiest way to install python on your 
 computer.","Đây là cách dễ nhất để cài đặt Python trên
 máy tính.","이 방법이 파이썬을 컴퓨터에 설치하는 사장 쉬운 
 방법입니다.",Place / Time
On the network,(통신망),Trên mạng,There are 3 printers on the network.,Có 3 máy in trên mạng.,네트워크에 프린터 3개가 있습니다.,Place / Time
On Wifi,(와이파이),Có wifi,"I'm on Wifi. Let me browse the Internet to see how 
 to take the metro at the airport.","Tôi đang sử dụng wifi. Hãy để tôi duyệt Internet để xem làm thế nào
 Để lấy tàu điện ngầm tại sân bay.","와이파이를 잡았습니다. 인터넷으로 공항철도를 어떻게 
 타는지 알아보겠습니다.",Place / Time
In the document,(문서),trong tài liệu,"This API example written in the document is kind 
 of confusing.","Ví dụ API này được viết trong tài liệu là loại
 khó hiểu.",문서에 쓰인 API 예시가 조금 헷갈립니다.,Place / Time
In the browser,(브라우저),trình duyệt,You can delete cookies in the browser if you want.,Bạn có thể xóa cookie trong trình duyệt nếu bạn muốn.,원한다면 브라우저의 쿠키를 지울 수 있습니다.,Place / Time
In the file,(파일),trong tập tin,There is a list of buyers in the file.,Có một danh sách người mua trong tập tin.,파일에 구매자 리스트가 있습니다.,Place / Time
In the directory,(디렉토리),trong thư mục,"When the file appears in the directory, drag it into 
 the trash.","Khi tệp xuất hiện trong thư mục, kéo nó vào
 thùng rác.","파일이 디렉토리에 나타나면, 드래그해서 휴지통에 
 넣어주세요.",Place / Time
In the system,(시스템),trong hệ thống,We've found a critical bug in the system.,Chúng tôi đã tìm thấy một lỗi quan trọng trong hệ thống.,시스템에서 심각한 버그를 발견했습니다.,Place / Time
At the beginning,(처음에),Bắt đầu,"At the beginning of the project, we thought this would 
 be impossible.","Khi bắt đầu dự án, chúng tôi nghĩ rằng điều này sẽ
 là không thể.","프로젝트 처음에, 우리는 이 프로젝트가 불가능 
 할것이라고 생각했습니다.",Place / Time
At domain,(도메인),domain,You can find more information at www.geekhaus.club.,Bạn có thể tìm thêm thông tin tại www.geekhaus.club.,www.geekhaus.club 에서 더 많은 정보를 확인하실 수 있습니다.,Place / Time
